"source","report_date","state_name","county_name","cases_count"
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Midland",1
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Rockwall",1
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Travis",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Cochran",7
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Dallam",6
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Dawson",13
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Ector",2
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Gaines",226
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Garza",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Hale",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Hockley",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Lamar",7
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Lamb",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Lubbock",10
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Lynn",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Martin",3
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Terry",37
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Yoakum",13
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Harris",3
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Midland",1
